Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Nick Pope,eng ENG,Newcastle Utd,GK,33-021,25,25,2250,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.32,70.1,28.0,50.0,,0.0,,,504,72.8,7881,99.0,98.5,42.8,1,2,0,0,1,6,0.24,0,0.0,0,0,0,0,1,0,1,1,773,612,762,11,0,0,0,,,397,1519,0,0,0,0,1,273,0,2,5,0,0,21,11,1,91.7,0
Nicolás González,es ESP,Manchester City,MF,23-127,9,8,648,0,0,3,0,0.3,0.1,5,46,10,0.0,0.0,0.04,0.01,,,,,0.0,0.0,0.0,19.3,520,92.9,1760,95.9,92.7,71.4,1,48,4,0,46,15,2.08,3,0.42,15,6,11,5,9,0,9,5,637,14,99,398,143,7,6,16.7,50.0,386,615,5,9,1,7,10,484,10,11,4,0,0,31,16,11,59.3,0
Oleksandr Zinchenko,ua UKR,Arsenal,"DF,MF",28-146,13,4,455,0,1,1,0,0.3,0.1,10,37,12,0.0,0.2,0.05,0.03,,,,,0.0,0.0,0.0,18.0,313,83.0,1092,92.1,86.6,43.8,2,26,7,1,37,16,3.16,2,0.4,4,1,7,5,5,0,5,4,409,13,75,205,130,18,4,75.0,0.0,233,509,10,5,3,3,4,285,12,8,3,1,10,16,11,11,50.0,0
Oliver Scarles,eng ENG,West Ham,DF,19-149,14,6,594,0,0,1,0,0.1,0.0,11,21,39,0.0,0.0,0.02,0.0,,,,,0.0,0.0,0.0,20.2,260,78.1,1062,88.7,83.5,29.4,1,9,5,1,21,5,0.76,0,0.0,17,11,21,8,14,2,12,10,420,27,140,166,118,7,6,16.7,83.3,190,445,11,9,1,10,3,243,39,4,3,1,13,33,5,5,50.0,0
Oliver Skipp,eng ENG,Leicester City,MF,24-236,21,8,996,0,0,8,0,0.2,0.3,16,31,19,0.0,0.0,0.01,0.02,,,,,25.0,0.09,0.0,21.0,392,85.0,1459,88.5,93.3,59.4,9,30,4,0,31,14,1.27,0,0.0,20,4,15,6,17,4,13,10,557,24,121,350,90,7,11,54.5,45.5,321,629,16,7,3,11,5,390,19,19,13,0,5,40,10,6,62.5,0
Orel Mangala,be BEL,Everton,MF,27-053,19,14,1261,1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,,,,,37.5,0.43,0.06,22.1,437,89.2,1567,90.5,94.9,76.7,8,50,8,1,34,24,1.72,1,0.07,16,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,406,19,24,17,2,6,49,6,8,42.9,0
Patrick Dorgu,dk DEN,Manchester Utd,DF,20-196,9,8,630,0,0,3,1,0.4,0.4,27,23,54,0.0,0.0,0.05,0.06,,,,,22.2,0.29,0.0,16.2,280,79.8,916,88.5,73.8,35.3,7,15,7,2,23,13,1.86,1,0.14,23,17,17,5,9,0,9,4,436,15,125,149,164,23,9,33.3,33.3,243,838,27,14,4,10,9,277,54,14,20,3,28,26,12,7,63.2,0
Radu Drăgușin,ro ROU,Tottenham,DF,23-096,16,14,1252,0,0,1,0,0.1,0.4,7,37,2,0.0,0.0,0.01,0.03,,,,,20.0,0.07,0.0,12.7,716,85.2,5250,91.0,93.0,43.9,4,52,2,1,37,8,0.58,1,0.07,10,6,12,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,669,2,6,10,0,1,48,33,22,60.0,0
Reece James,eng ENG,Chelsea,"DF,MF",25-153,16,10,838,1,0,1,0,0.3,0.5,6,51,10,0.11,0.0,0.03,0.06,,,,,37.5,0.32,0.13,23.2,577,84.6,3536,94.3,89.0,52.0,10,72,5,1,51,15,1.61,1,0.11,9,9,9,6,12,4,8,12,764,32,214,424,131,4,16,37.5,37.5,398,728,6,4,0,6,5,482,10,6,10,0,38,55,21,6,77.8,0
Renato Veiga,pt POR,Chelsea,"DF,MF",21-285,7,1,181,0,0,2,0,0.1,0.0,4,7,3,0.0,0.0,0.07,0.0,,,,,33.3,0.5,0.0,17.1,118,84.9,435,88.2,90.2,61.9,0,6,1,0,7,1,0.49,0,0.0,9,6,12,8,3,1,2,1,167,2,61,82,27,3,5,60.0,40.0,85,144,4,5,1,1,0,110,3,6,1,1,0,9,3,3,50.0,0
